Phenotype ,Chr ,Position (Mb) ,-logP ,Additional phenotypes mapping at the same locus ,-logP of add. phenotyp es (range) ,Nb of gene s under QTL (95% CI) ,Candidate gene(s) under QTL ,Findings supporting candidate genes ,KO? ,
Tibia.Length ,5,51.7,4.5, , ,1, , , ,
Sleep.long_sleep ,5,51.8,6.8, , ,1,Ppargc1a ,Stimulates the expression of clock genes (18) , ,
PAS.Total_Activity ,5,119.7,4.9, , ,3, , , ,
Bioch.Tot.Cholesterol ,5,125.1,18.5,"Bioch.LDL, Bioch.HDL ",16.1-20.04,6,Scarb1 ,Abnormal lipoprotein metabolism in deficient mice (19) ,X ,
Haem.measHGB ,5,148.1,6.4,Haem.CHCM ,6.3,3,Slc7a1 ,Peripheral blood from mutant mice contains 50% fewer red blood cells and reduced hemoglobin levels (20) ,X ,
Micronucleus.Mn.NCE ,5,148.8,4.7, , ,3, , , ,
BMC.Width ,6,15.1,4.2, , ,3, , , ,
Muscles.Sol.g ,6,17.5,16.2,"Muscles.TA.g, Muscles.Plant.g, Muscles.EDL.g, Muscles.Gast.g ",7.46-9.94 ,1,Met ,Essential for muscle formation (21) and regeneration (22) ,X ,
SPPI.ln_pa ,6,17.5,6.7, , ,1, , , ,
Bioch.Calcium ,6,17.5,8.3, , ,1, , , ,
Bioch.Tot.Cholesterol ,6,17.5,6.1, , ,1, , , ,
Bioch.Tot.Protein ,6,17.5,27.7,Bioch.Albumin ,25.8,1, , , ,
FACS.CD3posCD4CD8Ratio ,6,41.1,7.9,"FACS.CD3posCD8pos, FACS.CD3posCD4pos ",7.73-8.49 ,8, , , ,
Haem.PDW ,6,78.2,6.1, , ,0, , , ,
EPM.Total.Distance ,6,110.2,5.6, , ,1,Grm7 ,Mutant mice more active in the initial minutes following placement in a novel environment (23) ,X ,
Muscles.Plant.g ,6,112.3,4.7, , ,37, , , ,
Bioch.LDH ,6,123.9,15.4, , ,21, , , ,
Tibia.Length ,6,147,10.9,"BMC.Width, BMC.Perim ",6.03-10.47,3,Arntl2 ,Interacts with HIF-2alpha during skeletal growth and osteoarthritis development (24) , ,
FACS.CD45posCD3negCD19pos ,7,72.2,6.2, , ,1, , , ,
BMC.Width ,7,79.2,4.6, , ,6, , , ,
Micronucleus.Mn.NCE ,8,33.2,13.1, , ,13,Wrn ,"Resolves aberrant DNA structures arising from DNA metabolic processes (25, 26) ",X ,
Cardio.ECG.PR_main ,8,80.3,6, , ,10, , , ,
Haem.MCV ,8,81.2,5.4, , ,6,Gypa ,"Major intrinsic membrane sialoglycoprotein of the erythrocyte, required for the expression of O-linked antigens on the cell membrane (27) ", ,
FACS.CD3posCD4CD8Ratio ,8,82.4,8.7,"FACS.CD3posCD44negCD4C D8Ratio, FACS.CD3posCD8pos, FACS.CD3posCD4pos ",6.96-9.48 ,1,Il15 ,T cell growth factor (28) ,X ,
WH.Ears_Area ,8,116.1,6.7, , ,0,"Maf (213,880bp distant from 95% CI) ","Expressed in hypertrophic chondrocytes (29, 30) ",X ,
,,,,,,,,Modulates B cell development (31) ,,
FACS.CD45posCD3negCD19pos ,9,32.5,5.8, , ,1,Fli1 ,,X ,
Sleep.long_sleep ,9,73.8,5.5, , ,1, , , ,
Tibia.Length ,9,81.2,8.7,BMC.Width ,5.55,8,Htr1b ,Mediates serotonin effect on osteoblasts proliferation (32) ,X ,
OFT.Arena.Distance ,9,81.2,5.3,OFT.Periphery.Distance ,5.67,12,Htr1b ,Knockout mice show reduced anxiety (33) ,X ,
Muscles.Sol.g ,9,87.8,5.6, , ,13, , , ,
Muscles.Plant.g ,9,89.5,6.6, , ,14, , , ,
Micronucleus.Mn.NCE ,9,109.1,5.4, , ,20,Trex1 ,3_-5_ DNA exonuclease. Mutants recapitulate the phenotype (34) ,X ,
SPPI.pReactivity ,10,57.8,7.1, , ,3,Fabp7 ,Fabp7-deficient mice show decreased PPI and a shortened startle response latency (35) ,X ,
,,,,,,,,,,
SPPI.pc_average_ABC ,10,66.8,6.3,"SPPI.ppReactivity, SPPI.slpPPI_average, SPPI.pc_average_pA ",5.31-6.61 ,0, , , ,
SPPI.pReactivity ,10,68,8, , ,1, , , ,
Muscles.Plant.g ,10,84.3,4.8, , ,9, , , ,
Micronucleus.Mn.NCE ,10,121.5,8.6, , ,6,Rassf3 ,Member of the RASSF family of proteins that function as tumor suppressors (36) , ,
EPM.Total.Distance ,11,7,4.7, , ,0,"Adcy1 (62,068bp distant from 95% CI) ",Mice overexpressing Adcy1 in the forebrain exhibit hyperactive behaviors (37) ,X ,
Muscles.TA.g ,11,17.6,6.3, , ,1, , , ,
EPM.Total.Distance ,11,19.7,5.9,EPM.ClosedArms.Distance ,5.94,15, , , ,
OFT.Arena.Distance ,11,25.7,6.7,"OFT.Periphery.Distance, OFT.Open.Distance, EPM.Total.Distance ",5.53-6.22 ,2, , , ,
PAS.Total_Activity ,11,28.1,5.5, , ,2, , , ,
Haem.HDW ,11,32.2,6, , ,20, , , ,
Tibia.Length ,11,33.4,4.1, , ,25, , , ,
,,,,,,,,,,
Sleep.long_sleep ,11,38.4,4.9,"Sleep.short_sleep, Sleep.Ampl ",5.69-6.07 ,3, , , ,
Hypoxia.f_HVD ,11,38.8,7.7,"Hypoxia.f_Undershoot, Hypoxia.f_SHR, Hypoxia.MV_HVD ",5.62-7.21 ,5, , , ,
FACS.CD45posCD3negCD19pos ,11,44.4,5.5, , ,4,Ebf1 ,Plays a specific and important role in the transcriptional control of B-cell differentiation (38) ,X ,
Haem.abs_eos ,11,44.6,5.4, , ,0, , , ,
Micronucleus.Mn.NCE ,11,69.6,8.2, , ,49,"Trp53, Aurkb ",Trp53 is an important tumor suppressor (39) and Aurkb plays a crucial role in  cell cycle control and mitosis (40) , ,
Weight.Diss ,11,83.8,4.9, , ,32, , , ,
Muscles.TA.g ,11,90.2,6,Muscles.Gast.g ,5.78,10, , , ,
Muscles.TA.g ,11,96.1,4.9, , ,45, , , ,
Tibia.Length ,11,96.5,4.6,"BMC.Width, BMC.Perim ",5.61-6.21 ,54, , , ,
Haem.HDW ,11,96.8,17.4,"Haem.RDW, Haem.PLT, Haem.PCT ",8.04-12 ,32,Nfe2l1 ,Homozygous mutant mice are anemic due to a non-cell autonomous defect in definitive erythropoiesis (41) ,X ,
Hypoxia.f_SHR ,11,96.8,7.2,Hypoxia.TV_Undershoot ,6.15,33, , , ,
PAS.Last10 ,11,96.8,5.4, , ,78, , , ,
BMC.Mean ,11,96.9,24.9,"BMC.Kurt.N, BMC.Max.N, BMC.Max, BMC.Kurt, BMC.StdDev, BMC.StdDev.N, BMC.Mean.N, BMC.Median, BMC.Median.N, BMC.Mode, BMC.Mode.N ",6.28-29.36,24, , , ,
FACS.CD3posCD4posCD44pos ,11,97.1,8.6,FACS.CD3posCD8posCD44p os ,6.21,15,Tbx21 ,"Regulates T cell homeostasis and function (42, 43) ",X ,
Muscles.Plant.g ,11,98.2,4.5, , ,41, , , ,
FACS.CD45posCD3negCD19pos ,11,98.4,6.9,"FACS.CD45posCD3posCD4p os, FACS.CD3pos ",5.89-6.1 ,41, , , ,
FACS.CD45posCD3negDX5pos ,11,99,6.4, , ,78, , , ,
BMC.Median ,11,108.2,4.6, , ,1,Prkca ,Age-related bony invasion of the medullary cavity at specific sites of the long bones in mutant mice (44) ,X ,
Bioch.Tot.Protein ,11,110.1,5.5, , ,2, , , ,
FACS.CD3posCD8pos ,12,25.5,5.4,"FACS.CD45posCD3posCD8p os, FACS.CD3posCD4CD8Ratio, FACS.CD3posCD44negCD4C D8Ratio, FACS.CD3posCD8posCD44p os ",5.16-7.32 ,1,Id2 ,Mediates CD8+ T cell immunity (45) ,X ,
Cardio.ECG.QRS_peak ,12,80.5,6.1, , ,11,Actn1 ,Cytoskeletal protein of the cardiomyocyte (46) , ,
Muscles.TA.g ,12,83.5,5.4, , ,6,Dpf3 ,Regulates muscle development (47) , ,
Tibia.Length ,12,83.6,7.1,"BMC.Width, BMC.Perim ",5.54-7.22 ,1, , , ,
Muscles.EDL.g ,12,83.8,5.8, , ,17, , , ,
,,,,,,,,,,
Tibia.Length ,12,91.3,8.9,BMC.Width ,6.19,5,Tshr ,Femur length and weight are reduced in null mice (48) ,X ,
PAS.Last10 ,13,7.3,10.6,PAS.Total_Activity ,8.51,1,Adarb2 , , ,
Weight.Diss ,13,10.6,4.9, , ,10,"Chrm3, Wdr37 ",Chrm3 (49) and Wdr37 (34) mutants show decreased body weight ,X ,
Muscles.Sol.g ,13,16.3,5.9, , ,3, , , ,
Tibia.Length ,13,110.5,4.3, , ,4, , , ,
,,,,,,,,,,
Muscles.Sol.g ,13,114.4,13, , ,10,Fst ,"Promotes muscle growth (50, 51) ",X ,
Muscles.Plant.g ,13,117.3,5.9, , ,3, , , ,
Hypoxia.f_HVD ,13,117.9,5.9, , ,1, , , ,
Muscles.TA.g ,14,25.6,5, , ,26, , , ,
EPM.Total.Distance ,14,82.1,6.2, , ,1,Pcdh17 ,Deficiency in mice affects synaptic transmission and decreases depression-like phenotypes (52) ,X ,
Haem.MCV ,14,96.2,5, , ,8, , , ,
,,,,,,,,,,
Bioch.Amylase ,15,7.5,7.1, , ,2,Gdnf ,Required for neural colonization of the pancreas (53) ,X ,
Tibia.Length ,15,11.7,9.1,"BMC.Width, BMC.Perim ",5.36-11.01,7,Nprs3 ,"Null mice exhibit striking skeletal abnormalities, including elongated tibia length, due to increased bone turnover (54) ",X ,
BMC.Width ,15,26.6,5.3, , ,1, , , ,
BMC.Width ,15,33.8,4.3, , ,42, , , ,
,,,,,,,,,,
BMC.Median ,15,86.5,5.7, , ,13,Wnt7b ,"Promotes bone formation (55, 56) ",X ,
BMC.Max ,17,9.3,4.6, , ,0, , , ,
OFT.Open.Distance ,17,24.8,5.5, , ,48, , , ,
,,,,,,,,,,
Haem.MCV ,17,30.9,6.3, , ,38,Pim1 ,Null mice have abnormally small erythrocytes (57) ,X ,
,,,,,,,,,,
FACS.CD3posCD8pos ,17,34,77,"FACS.CD3posCD44posCD4C D8Ratio, FACS.CD3pos, FACS.CD3posCD4pos, FACS.CD3posCD4CD8Ratio, FACS.CD3posCD44negCD4C D8Ratio, FACS.CD45posCD3negDX5p os, FACS.CD45posCD3posCD8p",6.56-69.62,57, , , ,
Weight.Diss ,17,34.1,5.3,, ,104, , , ,
Micronucleus.Mn.NCE ,17,34.2,9.3,, ,86, , , ,
Haem.HDW ,17,34.8,7.9, , ,72, , , ,
Cardio.ECG.Heart_Rate ,17,35.3,7.9, , ,106, , , ,
Bioch.ALAT ,17,36.1,5.6, , ,160, , , ,
Haem.CHCM ,17,36.1,5.1, , ,106, , , ,
FACS.CD3posCD44negCD4CD8Ratio ,17,43.4,10.4,"FACS.CD3posCD4pos, FACS.CD3posCD8pos, FACS.CD3posCD4CD8Ratio ",5.64-9.72 ,21, , , ,
Haem.RBC ,17,48.4,5.4,Haem.MCV ,5,17, , , ,
,,,,,,,,,,
BMC.Median ,17,49.7,5, , ,6,Daam2 ,Mutant mice show decreased bone mineral content (34) ,X ,
Haem.EOS_percent ,17,70.4,5.2, , ,1, , , ,
Adrenals.Adrenals_g ,17,74.5,7.7, , ,9, , , ,
Muscles.Plant.g ,17,85.2,5.1, , ,3,Camkmt ,Muscles strength reduced in mutants (58) ,X ,
BMC.Mean ,18,38.4,7,"BMC.StdDev.N, BMC.StdDev, BMC.Median, BMC.Mean.N ",5.94-7.01 ,8,Spry4 ,Null mice show severe defects in limb morphogenesis (59) ,X ,
FACS.CD3posCD4CD8Ratio ,18,69.9,4.5, , ,3,Tcf4 ,Deficiency leads to a partial block in both B and T lymphocyte development in the mouse (60) ,X ,
FACS.CD3posCD4pos ,19,22,6, , ,4, , , ,
Muscles.TA.g ,19,25.7,4.9, , ,3,Dmrt2 ,Regulates myogenic determination gene MYF5 (61) ,X ,
BMC.Width ,19,26.9,4.3, , ,5, , , ,
Weight.Diss ,X ,85.1,4.5, , ,4, , , ,
Tibia.Length ,X ,97.5,5.8, , ,7, , , ,
Muscles.EDL.g ,X ,99.5,6.5, , ,12, , , ,
Weight.Startle ,X ,106.1,8.3,"Weight.Average, Muscles.Sol.g, Weight.Diss ",5.83-7.88 ,12, , , ,
Weight.Hypo ,X ,106.2,7, , ,12, , , ,
BMC.Max.N ,X ,106.4,6.5,BMC.Max ,5.36,13,Cysltr1 ,Involved in 5-Lipoxygenase mediated osteoclastogenesis (62) , ,
Muscles.Gast.g ,X ,109.6,19.4,"Muscles.EDL.g, Muscles.TA.g, Muscles.Plant.g ",7.32-29.1 ,3, , , ,
Diss.Brain.Weight ,X ,109.6,9.8, , ,3, , , ,
BMC.Area ,X ,109.7,10.7, , ,7, , , ,
Bioch.CreatinineEnzymatic ,X ,109.7,6.5, , ,3, , , ,
BMC.StdDev ,X ,110.6,6.8,BMC.StdDev.N ,5.77,5, , , ,
Haem.EOS_percent ,X ,155.6,6, , ,1, , , ,
PAS.Total_Activity ,X ,156.7,5.7, , ,7, , , ,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
